lnc.id	lnc.name	coding.id	coding.name	cor	cor.p	cor.adjp	MI	ARACNe.pvalue
ENSG00000230838.1	LINC01614	ENSG00000060718.20	COL11A1	0.838107941884051	1.19535296338819e-108	1.92929968290854e-104	0.669913059969327	0
ENSG00000230838.1	LINC01614	ENSG00000151388.10	ADAMTS12	0.822772974721938	2.03150933237446e-101	3.27885606245238e-97	0.6403788122544	0
ENSG00000230838.1	LINC01614	ENSG00000148848.14	ADAM12	0.808379708852793	3.05715217680902e-95	4.93424361336975e-91	0.623516596548841	0
ENSG00000230838.1	LINC01614	ENSG00000078098.13	FAP	0.809516729057814	1.03895397358075e-95	1.67687171335933e-91	0.610099408154134	0
ENSG00000230838.1	LINC01614	ENSG00000086991.12	NOX4	0.766942736954951	4.85482801216562e-80	7.83569241163531e-76	0.570558620350957	0
ENSG00000230838.1	LINC01614	ENSG00000087116.14	ADAMTS2	0.783073398892813	1.47429055125276e-85	2.37950494972195e-81	0.568671823987616	0
ENSG00000230838.1	LINC01614	ENSG00000123500.9	COL10A1	0.769155894178815	9.03415516057797e-81	1.45811264291728e-76	0.566708739433118	0
ENSG00000230838.1	LINC01614	ENSG00000164932.12	CTHRC1	0.767003531130623	4.63683582598206e-80	7.48385302313504e-76	0.552614720550384	0
ENSG00000230838.1	LINC01614	ENSG00000122641.10	INHBA	0.744064900633109	6.14054781909048e-73	9.91084418001203e-69	0.549277470013872	0
ENSG00000230838.1	LINC01614	ENSG00000108821.13	COL1A1	0.764430148388541	3.20255815944106e-79	5.16892886933788e-75	0.547614866349716	0
ENSG00000230838.1	LINC01614	ENSG00000164692.17	COL1A2	0.756453471883694	1.09681449538211e-76	1.77025859554673e-72	0.54259507172987	0
ENSG00000230838.1	LINC01614	ENSG00000113140.10	SPARC	0.764198899093673	3.80530701002183e-79	6.14176551417523e-75	0.53482698647799	0
ENSG00000230838.1	LINC01614	ENSG00000113083.13	LOX	0.76382825934624	5.01471333922317e-79	8.0937473295062e-75	0.533114918950242	0
ENSG00000230838.1	LINC01614	ENSG00000137573.13	SULF1	0.776664197400523	2.60712222671052e-83	4.20789527391078e-79	0.529889055438625	0
ENSG00000230838.1	LINC01614	ENSG00000204262.11	COL5A2	0.750276320780827	8.64137528944354e-75	1.39471797171619e-70	0.522084904559044	0
ENSG00000230838.1	LINC01614	ENSG00000115414.18	FN1	0.726854630266666	4.46270202268352e-68	7.2028010646112e-64	0.516568188097442	0
ENSG00000230838.1	LINC01614	ENSG00000168542.14	COL3A1	0.703895527352747	3.83850627535105e-62	6.1953491284166e-58	0.513021675837116	0
